Name,Sub Area,Ground,Club ID,Team Name,Adult male 11v11 (16-45),Adult female 11v11 (16-45),Youth male 11v11 (12-15),Youth female 11v11 (12-15),Youth male 9v9 (10-11),Youth female 9v9 (10-11),MS 7v7 (8-9),MS 5v5 (6-7),Team ID,Day Plays On,Adult male/female football sat am,Adult male/female football sat pm,Adult male/female football sun am,Adult male/female football sun pm,Adult male/female football mw,Youth male/female football 11v11 sat am,Youth male/female football 11v11 sat pm,Youth male/female football 11v11 sun am,Youth male/female football 11v11 sun pm,Youth male/female football 11v11 mw,Youth male/female football 9v9 sat am,Youth male/female football 9v9 sat pm,Youth male/female football 9v9 sun am,Youth male/female football 9v9 sun pm,Youth male/female football 9v9 mw,Minisoccer 7v7 sat am,Minisoccer 7v7 sat pm,Minisoccer 7v7 sun am,Minisoccer 7v7 sun pm,Minisoccer 7v7 mw,Minisoccer 5v5 sat am,Minisoccer 5v5 sat pm,Minisoccer 5v5 sun am,Minisoccer 5v5 sun pm,Minisoccer 5v5 mw
Plymouth Falcons  F.C.,Honicknowle,Chaucer Way,115721,1st,1,,,,,,,,11355562,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Hooe Rovers Youth F.C.,Goosewell,Coombe Dean School,80975,U8,,,,,,,,1,11698207,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
29 Commando F.C.,City Centre,Milbay Park,82087,1st,1,,,,,,,,11381677,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
The Southway F.C.,Whitleigh,Aylesbury Crescent,236477,1st,1,,,,,,,,11508198,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Elburton Villa Junior F.C.,,Staddiscombe Playing Field,80498,U10,,,,,,,1,,11600707,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
AFC Plympton Youth,Woodford,Heles School,80475,U14,,,1,,,,,,11620061,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Hyde Park F.C.,Devonport,Brickfields,208946,1st,1,,,,,,,,11175983,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
HM Naval Base F.C.,Keyham,Wyvern Centre,80774,1st,1,,,,,,,,11024478,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
AFC Plympton Youth,Woodford,Heles School,80475,U8,,,,,,,,1,11627271,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
Railway Beacon Youth F.C.,Devonport,Brickfields,80632,U12,,,,,1,,,,11673429,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Millbridge F.C.,Devonport,Brickfields,81276,2nd,1,,,,,,,,11442052,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Railway Beacon Youth F.C.,Devonport,Brickfields,80632,U11,,,,,1,,,,11674199,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Star Garage F.C.,Stonehouse,Victoria Park,220424,1st,1,,,,,,,,11245665,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
City College Plymouth F.C.,Devonport,Brickfields,232143,1st,1,,,,,,,,11442056,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Steam Packet F.C.,City Centre,Milbay Park,226300,1st,1,,,,,,,,11327638,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Hooe Rovers Youth F.C.,Goosewell,Coombe Dean School,80975,U13,,,1,,,,,,11679234,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Hooe Rovers F.C.,,Staddiscombe Playing Field,83183,1st,1,,,,,,,,11696773,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Millbridge F.C.,Stonehouse,Victoria Park,81276,1st,1,,,,,,,,11026570,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
The Windmill F.C.,Mount Gould,Tothill Park,219683,1st,1,,,,,,,,11233194,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
